gene,pVal
"SLC35B1",0.0170056582985427
"PTPLA",0.0170459551967528
"USP40",0.017107315872976
"LIN7C",0.0171165905607721
"YIPF3",0.0171751644817512
"PANX2",0.0172221789740725
"RP11-85F14.5",0.0172221789740725
"PGAP2",0.0172221789740725
"GPR98",0.0172221789740725
"GPR107",0.0173364203947495
"IL6ST",0.0174184436687004
"TMEM38A",0.0174415572580238
"TMEM159",0.0174495878184008
"COX7B",0.0174661283085627
"PCMT1",0.0176199172071523
"IBTK",0.0177345043979907
"HADH",0.0177370146571426
"CCDC64",0.0177534390166067
"PDPR",0.0177534390166067
"KIFC2",0.017759531088604
"MT1M",0.0177665033758381
"SLC16A2",0.017781510832401
"STAP2",0.0178708330546213
"SEH1L",0.0178859089029036
"PINK1",0.0178919895998553
"RAB30-AS1",0.0178955711983017
"ARMC8",0.0180022616337745
"ANPEP",0.0180577648523124
"DALRD3",0.0181323811500788
"PAG1",0.0181382501361914
"XRCC5",0.018143120945198
"ALDOA",0.0181913896704499
"TSSC4",0.0182358104139044
"PSMG4",0.0182483483032325
"FAM47E",0.0182990056492854
"ADCK1",0.0182990056492854
"CHKB-AS1",0.0182990056492854
"CAB39L",0.0182990056492854
"OPN3",0.0183334365902235
"OGFOD2",0.0183956892285264
"PSMA3",0.0184666851011311
"BTF3",0.0185057714944143
"IGSF23",0.0185395077183862
"NUDT22",0.0186453101207845
"TAF3",0.0186530261795361
"BICC1",0.0186952556660247
"TAX1BP1",0.0187199169512891
"RBBP6",0.0187659098727087
"PCBD1",0.0188292708879578
"PIGS",0.0188591937543586
"RHNO1",0.0190039615371047
"ZBTB20",0.0190084613885272
"TOMM7",0.0190201413244838
"GBA",0.0190849137360208
"COA6",0.0191931051082759
"CYB561A3",0.0192967625164617
"UGT3A1",0.0193272273730219
"LMBR1",0.019410978903907
"TCOF1",0.019410978903907
"IKBKE",0.0194343229299379
"EGLN1",0.0195024768215793
"CRLS1",0.019515650802734
"TMSB4X",0.0195350527131185
"UGT2B4",0.0195440756633082
"AC113189.5",0.0195765263041202
"FAM13A",0.0196253179730864
"ATP6V0E2",0.0197956054449642
"KIAA0907",0.0198205895280164
"CPSF3",0.01982559242497
"PSMC5",0.0198355258344666
"IDH3G",0.0199390006274263
"THAP11",0.0200669836481865
"AMN",0.0200669836481865
"SNRPB",0.0201304045059239
"TALDO1",0.0201312008630135
"MRPL13",0.0201801383178271
"CCT7",0.0202038910476389
"UQCR11.1",0.0203822637099433
"GLT8D1",0.0204000595901859
"BIRC3",0.0204096541016384
"GALK1",0.0206224569357843
"MRPL37",0.0207600089298015
"AP006621.5",0.0208230429151965
"ZNF668",0.0208230429151965
"ALKBH3",0.0208230429151965
"CAPZB",0.0208347499273107
"VARS",0.0208772023778619
"LASP1",0.0209215611854784
"SLC19A2",0.021060800261752
"PSMD7",0.0211117836289358
"SMURF2",0.0211139168553308
"SBNO1",0.0211753506397645
"USP3",0.0213674912892741
"SDR39U1",0.0214201706125058
"SNRPB2",0.0214740966169557
"TYW3",0.0215200854595479
"KLC1",0.0215206308777673
"SLC7A2",0.0215206308777673
"PRKD2",0.0215574567692471
"LZIC",0.0215574567692471
"FAM85A",0.0215735976699841
"GHDC",0.0216779061606166
"TRMU",0.0216919937887314
"TOX4",0.0217197762499126
"RNF130",0.0217441864264365
"CCNY",0.0217572418635152
"HIST1H2BD",0.0217889075972379
"ENY2",0.0218023148944979
"SURF1",0.0218456624915042
"VAMP3",0.0219211834577115
"FKBP1A",0.0219490663865479
"ADSL",0.0220635084573384
"FGGY",0.0220962578127722
"PLK2",0.0221690680156296
"AAMP",0.0221788567994071
"SNHG9",0.0221870164670484
"USP15",0.0222436947041843
"FBXO44",0.022266725561915
"SOS1",0.022464910520029
"MASP1",0.0224709339994887
"TMA16",0.0225138529793206
"SERINC2",0.022648301502563
"DNAJC15",0.0227980993833399
"CTPS1",0.0230309514538259
"CAMTA2",0.0232295483410449
"PDLIM7",0.0232389530071822
"NSMCE1",0.023502991910821
"COPE",0.0235140300119101
"RAPGEF2",0.0235847146190112
"RDH10",0.0235848191526046
"C4BPB",0.0236008791384691
"TBCB",0.0236033853587278
"COMMD4",0.0236084250077081
"TPD52L1",0.0237625722895134
"ADAL",0.0239359439890455
"RSAD1",0.024003711269683
"DTYMK",0.0242644935933023
"PDCD10",0.0242645844128913
"IGFBP6",0.0243312263904367
"C1orf174",0.0243372242615679
"TM4SF4",0.0243386533192906
"NEU4",0.024436714070415
"NUDT9",0.0245786552050794
"BCAP29",0.0247888147123087
"ZNF76",0.0249425045239387
"DCTD",0.025113162819332
"FNDC3B",0.0251383960702199
"XAB2",0.0251769040715987
"PLAUR",0.0251769040715987
"INSIG2",0.0251924413897742
"ATP5G3",0.025253091720315
"COTL1",0.025376899791483
"ARL14EP",0.0254653916991518
"NIT2",0.0255745146786123
"HULC",0.0256382262511741
"GGPS1",0.0256515482748621
"NUDT16",0.0257088910324489
"OSGIN2",0.0258318914527244
"MEGF9",0.0258318914527244
"PSMA2.1",0.0258802156669705
"C1orf27",0.0259575083991515
"PEX13",0.0260584261530231
"MBNL2",0.0261111664970169
"CDC42EP1",0.0261554445842271
"HSD11B1L",0.0264456319196773
"NME1-NME2",0.0264910120107897
"GPX2",0.0265102785592547
"TNPO1",0.026527496596235
"U2AF2",0.0265414390065763
"C1orf35",0.0265684270367137
"BBS4",0.0265987183003653
"ZCCHC11",0.0266182233345029
"F5",0.0266333055492451
"CXCL16",0.0266383525067134
"RP11-660L16.2",0.0269991696778471
"PNKP",0.0271108075126025
"GLIPR1",0.0271347077484744
"YTHDF3-AS1",0.0272562826730621
"BLZF1",0.0272562826730621
"PRR5",0.0272562826730621
"TMEM186",0.0273352737462522
"HEATR2",0.0273352737462522
"BLOC1S4",0.0273352737462522
"SLC29A1",0.0274046855519217
"PABPC1",0.0274330119896636
"GADD45GIP1",0.0274625423642872
"CDS2",0.0276084575693013
"AGT",0.0276812697334779
"IST1",0.027736684167574
"CORO2A",0.027876921939782
"PDS5B",0.0279043009904588
"ZNF830",0.0279786440729505
"MRPS17.1",0.0280263879386864
"TSPO",0.0281049387960469
"RAP1GAP",0.0282769812030015
"SMC4",0.0282769812030015
"CANX",0.0282810939432073
"C9orf85",0.0283485550765864
"PPP2R4",0.0284104373341442
"CLMN",0.0284291040983762
"GOLGB1",0.0284649401297939
"ITGA1",0.0285383126096388
"DFNB31",0.0288613105718717
"RP11-395A13.2",0.0288613105718717
"ZNF582-AS1",0.0288613105718717
"SLC25A42",0.0289473228287922
"PSPC1",0.0289592173853744
"DLEU1",0.0291249065374661
"DCUN1D4",0.0292899138379841
"PFDN1",0.0293569534803235
"RUVBL2",0.0293609084422795
"EXOSC5",0.0294221187130788
"FGB",0.029630437385315
"ZNF710",0.0296514548170458
"ASAH2B",0.0296514548170458
"ARSB",0.0296514548170458
"RORA",0.0296686223617421
"BCAS2",0.0296879262679246
"AP000569.9",0.0298124684886018
"POLR1E",0.0298124684886018
"ZNF398",0.0298124684886018
"CERS2",0.0298366964293553
"ROCK1",0.0299312623285379
"AADAC",0.030033733441242
"ZC3H15",0.0300516131067867
"GAREM",0.0301560298540653
"PIK3R1",0.0302430167720016
"STARD3",0.030282030495188
"RHOC",0.0304121019312475
"TM9SF1",0.0304601309984281
"DDX60L",0.0304601309984281
"PHLDA3",0.0304854931614184
"TECR",0.0306023346418372
"SGSM3",0.0306313006613334
"GATM",0.0309421567733104
"NT5C3B",0.03112621567239
"OCLN",0.031165547945305
"DERL2",0.0311995717790159
"ANGEL1",0.0312876797115791
"PUS3",0.0312876797115791
"CTC-524C5.2",0.0312876797115791
"GPRC5A",0.0312876797115791
"ARMCX6",0.0313416893787724
"WBSCR22",0.0313732732619425
"TFPT",0.0314246117580123
"C1orf115",0.0314504499636072
"NR1D1",0.0315406508251915
"RPS14",0.0317368588326106
"AKT1",0.031769830519338
"CTNNA1",0.0317798002213906
"CREBL2",0.0317890142621753
"ZNF317",0.0320345648660382
"COX7A2",0.0320550097787546
"DSG2",0.0321396962604168
"MAPKAPK2",0.0321636012393843
"UBE2Q2",0.0321706779631109
"CELF1",0.0323901217155252
"HM13",0.0325492289572558
"LAMTOR5",0.0325853143803626
"PCBP2",0.0326899819442361
"CPNE1",0.0327221156408528
"ATP8B1",0.0327221156408528
"ANKRD26",0.0327983183919331
"DDX17",0.0329637833443637
"C4orf33",0.0330007751278758
"ATG12",0.0331754484227249
"BCL2L1",0.0331952322471288
"SMARCB1",0.0332096131538738
"GFPT1",0.0332164916401744
"CLTC",0.0332355255919572
"ZNF697",0.0332663428699676
